,date,province,confirmed,cured,dead,nowc
369,2020-01-30,四川省,177,1,1,175
370,2020-01-30,贵州省,15,1,0,14
371,2020-01-30,云南省,80,0,0,80
372,2020-01-30,西藏自治区,1,0,0,1
373,2020-01-30,陕西省,87,0,0,87
374,2020-01-30,甘肃省,29,0,0,29
375,2020-01-30,青海省,8,0,0,8
376,2020-01-30,宁夏回族自治区,21,0,0,21
377,2020-01-30,新疆维吾尔自治区,17,0,0,17
378,2020-01-30,台湾省,9,0,0,9
379,2020-01-30,香港特别行政区,12,0,0,12
380,2020-01-30,澳门特别行政区,7,0,0,7
381,2020-01-31,北京市,156,5,1,150
382,2020-01-31,天津市,32,0,0,32
383,2020-01-31,河北省,96,0,1,95
384,2020-01-31,山西省,47,1,0,46
385,2020-01-31,内蒙古自治区,23,1,0,22
386,2020-01-31,辽宁省,60,1,0,59
387,2020-01-31,吉林省,17,1,0,16
388,2020-01-31,黑龙江省,80,0,2,78
389,2020-01-31,上海市,153,9,1,143
390,2020-01-31,江苏省,202,5,0,197
391,2020-01-31,浙江省,599,15,0,584
392,2020-01-31,安徽省,297,3,0,294
393,2020-01-31,福建省,144,0,0,144
394,2020-01-31,江西省,286,9,0,277
395,2020-01-31,山东省,202,2,0,200
396,2020-01-31,河南省,422,3,2,417
397,2020-01-31,湖北省,7153,166,249,6738
398,2020-01-31,湖南省,389,3,0,386
399,2020-01-31,广东省,520,0,0,520
400,2020-01-31,广西壮族自治区,100,2,0,98
401,2020-01-31,海南省,57,1,1,55
402,2020-01-31,重庆市,238,1,1,236
403,2020-01-31,四川省,207,3,1,203
404,2020-01-31,贵州省,29,2,0,27
405,2020-01-31,云南省,91,1,0,90
406,2020-01-31,西藏自治区,1,0,0,1
407,2020-01-31,陕西省,101,0,0,101
408,2020-01-31,甘肃省,35,0,0,35
409,2020-01-31,青海省,9,0,0,9
410,2020-01-31,宁夏回族自治区,26,0,0,26
411,2020-01-31,新疆维吾尔自治区,18,0,0,18
412,2020-01-31,台湾省,10,0,0,10
413,2020-01-31,香港特别行政区,13,0,0,13
414,2020-01-31,澳门特别行政区,7,0,0,7
415,2020-02-01,北京市,183,9,1,173
416,2020-02-01,天津市,41,0,0,41
417,2020-02-01,河北省,104,3,1,100
418,2020-02-01,山西省,56,1,0,55
419,2020-02-01,内蒙古自治区,27,1,0,26
420,2020-02-01,辽宁省,64,1,0,63
421,2020-02-01,吉林省,23,1,0,22
422,2020-02-01,黑龙江省,95,0,2,93
423,2020-02-01,上海市,177,10,1,166
424,2020-02-01,江苏省,236,6,0,230
425,2020-02-01,浙江省,661,23,0,638
426,2020-02-01,安徽省,340,5,0,335
427,2020-02-01,福建省,159,0,0,159
428,2020-02-01,江西省,333,10,0,323
429,2020-02-01,山东省,225,5,0,220
430,2020-02-01,河南省,493,4,2,487
431,2020-02-01,湖北省,9074,215,294,8565
432,2020-02-01,湖南省,463,8,0,455
433,2020-02-01,广东省,604,12,0,592
434,2020-02-01,广西壮族自治区,111,2,0,109
435,2020-02-01,海南省,63,1,1,61
436,2020-02-01,重庆市,262,3,1,258
437,2020-02-01,四川省,231,3,1,227
438,2020-02-01,贵州省,38,2,0,36
439,2020-02-01,云南省,99,2,0,97
440,2020-02-01,西藏自治区,1,0,0,1
441,2020-02-01,陕西省,116,0,0,116
442,2020-02-01,甘肃省,40,0,0,40
443,2020-02-01,青海省,9,0,0,9
444,2020-02-01,宁夏回族自治区,28,0,0,28
445,2020-02-01,新疆维吾尔自治区,21,0,0,21
446,2020-02-01,台湾省,10,0,0,10
447,2020-02-01,香港特别行政区,14,0,0,14
448,2020-02-01,澳门特别行政区,7,0,0,7
449,2020-02-02,北京市,212,12,1,199
450,2020-02-02,天津市,48,1,0,47
451,2020-02-02,河北省,113,3,1,109
452,2020-02-02,山西省,66,2,0,64
453,2020-02-02,内蒙古自治区,34,1,0,33
454,2020-02-02,辽宁省,70,1,0,69
455,2020-02-02,吉林省,31,1,0,30
456,2020-02-02,黑龙江省,118,2,2,114
457,2020-02-02,上海市,193,10,1,182
458,2020-02-02,江苏省,271,7,0,264
459,2020-02-02,浙江省,724,36,0,688
460,2020-02-02,安徽省,408,7,0,401
461,2020-02-02,福建省,179,0,0,179
462,2020-02-02,江西省,391,18,0,373
463,2020-02-02,山东省,246,6,0,240
464,2020-02-02,河南省,566,14,2,550
465,2020-02-02,湖北省,11177,295,350,10532
466,2020-02-02,湖南省,521,16,0,505
467,2020-02-02,广东省,683,14,0,669
468,2020-02-02,广西壮族自治区,127,2,0,125
469,2020-02-02,海南省,70,4,1,65
470,2020-02-02,重庆市,300,7,2,291
471,2020-02-02,四川省,254,12,1,241
472,2020-02-02,贵州省,46,2,0,44
473,2020-02-02,云南省,109,3,0,106
474,2020-02-02,西藏自治区,1,0,0,1
475,2020-02-02,陕西省,128,0,0,128
476,2020-02-02,甘肃省,51,3,0,48
477,2020-02-02,青海省,13,0,0,13
478,2020-02-02,宁夏回族自治区,31,0,0,31
479,2020-02-02,新疆维吾尔自治区,24,0,0,24
480,2020-02-02,台湾省,10,0,0,10
481,2020-02-02,香港特别行政区,15,0,0,15
482,2020-02-02,澳门特别行政区,8,0,0,8
483,2020-02-03,北京市,228,23,1,204
484,2020-02-03,天津市,60,1,0,59
485,2020-02-03,河北省,126,3,1,122
486,2020-02-03,山西省,74,2,0,72
487,2020-02-03,内蒙古自治区,35,1,0,34
488,2020-02-03,辽宁省,74,1,0,73
489,2020-02-03,吉林省,42,1,0,41
490,2020-02-03,黑龙江省,155,2,2,151
491,2020-02-03,上海市,208,10,1,197
492,2020-02-03,江苏省,308,8,0,300
493,2020-02-03,浙江省,829,48,0,781
494,2020-02-03,安徽省,480,14,0,466
495,2020-02-03,福建省,194,1,0,193
496,2020-02-03,江西省,476,19,0,457
497,2020-02-03,山东省,270,7,0,263
498,2020-02-03,河南省,675,20,2,653
499,2020-02-03,湖北省,13522,396,414,12712
500,2020-02-03,湖南省,593,22,0,571
501,2020-02-03,广东省,797,20,0,777
502,2020-02-03,广西壮族自治区,139,7,0,132
503,2020-02-03,海南省,79,4,1,74
504,2020-02-03,重庆市,337,9,2,326
505,2020-02-03,四川省,282,14,1,267
506,2020-02-03,贵州省,56,2,0,54
507,2020-02-03,云南省,117,5,0,112
508,2020-02-03,西藏自治区,1,0,0,1
509,2020-02-03,陕西省,142,1,0,141
510,2020-02-03,甘肃省,55,3,0,52
511,2020-02-03,青海省,15,0,0,15
512,2020-02-03,宁夏回族自治区,34,0,0,34
513,2020-02-03,新疆维吾尔自治区,29,0,0,29
514,2020-02-03,台湾省,10,0,0,10
515,2020-02-03,香港特别行政区,15,0,0,15
516,2020-02-03,澳门特别行政区,8,0,0,8
517,2020-02-04,北京市,253,24,1,228
518,2020-02-04,天津市,67,2,0,65
519,2020-02-04,河北省,135,4,1,130
520,2020-02-04,山西省,81,4,0,77
521,2020-02-04,内蒙古自治区,42,1,0,41
522,2020-02-04,辽宁省,81,2,0,79
523,2020-02-04,吉林省,54,1,0,53
524,2020-02-04,黑龙江省,190,4,2,184
525,2020-02-04,上海市,233,12,1,220
